# x,y
-1.500,0.000
-1.495,-0.130
-1.495,0.130
-1.475,-0.260
-1.475,0.260
-1.450,-0.390
-1.450,0.390
-1.410,-0.515
-1.410,0.515
-1.360,-0.635
-1.360,0.635
-1.300,-0.750
-1.300,0.750
-1.230,-0.860
-1.230,0.860
-1.150,-0.965
-1.150,0.965
-1.060,-1.060
-1.060,1.060
-0.965,-1.150
-0.965,1.150
-0.860,-1.230
-0.860,1.230
-0.750,-1.300
-0.750,1.300
-0.635,-1.360
-0.635,1.360
-0.515,-1.410
-0.515,1.410
-0.390,-1.450
-0.390,1.450
-0.260,-1.475
-0.260,1.475
-0.130,-1.495
-0.130,1.495
-0.000,-1.500
0.000,1.500
0.130,-1.495
0.130,1.495
0.260,-1.475
0.260,1.475
0.390,-1.450
0.390,1.450
0.515,-1.410
0.515,1.410
0.635,-1.360
0.635,1.360
0.750,-1.300
0.750,1.300
0.860,-1.230
0.860,1.230
0.965,-1.150
0.965,1.150
1.060,-1.060
1.060,1.060
1.150,-0.965
1.150,0.965
1.230,-0.860
1.230,0.860
1.300,-0.750
1.300,0.750
1.360,-0.635
1.360,0.635
1.410,-0.515
1.410,0.515
1.450,-0.390
1.450,0.390
1.475,-0.260
1.475,0.260
1.495,-0.130
1.495,0.130
1.500,0.000
