0.600,1.550
0.610,1.450
0.630,1.355
0.660,1.260
0.700,1.165
0.745,1.080
0.805,0.995
0.865,0.920
0.940,0.850
1.015,0.790
1.100,0.735
1.190,0.690
1.280,0.650
1.375,0.625
1.475,0.610
1.575,0.600
1.675,0.605
1.775,0.615
1.870,0.635
1.965,0.670
2.055,0.710
2.145,0.760
2.225,0.820
2.300,0.885
2.365,0.955
2.425,1.035
2.480,1.120
2.520,1.210
2.555,1.305
2.580,1.400
2.595,1.500
2.600,1.600
2.595,1.700
2.580,1.800
2.555,1.895
2.520,1.990
2.480,2.080
2.425,2.165
2.365,2.245
2.300,2.315
2.225,2.380
2.145,2.440
2.055,2.490
1.965,2.530
1.870,2.565
1.775,2.585
1.675,2.595
1.575,2.600
1.475,2.590
1.375,2.575
1.280,2.550
1.190,2.510
1.100,2.465
1.015,2.410
0.940,2.350
0.865,2.280
0.805,2.205
0.745,2.120
0.700,2.035
0.660,1.940
0.630,1.845
0.610,1.750
0.600,1.650
