0.500,1.545
0.510,1.435
0.535,1.330
0.565,1.225
0.610,1.125
0.660,1.025
0.725,0.935
0.795,0.850
0.870,0.775
0.960,0.705
1.050,0.645
1.150,0.595
1.250,0.555
1.355,0.530
1.465,0.510
1.575,0.500
1.680,0.505
1.790,0.515
1.900,0.540
2.000,0.575
2.100,0.620
2.195,0.675
2.285,0.740
2.370,0.815
2.445,0.895
2.510,0.980
2.565,1.075
2.615,1.175
2.650,1.275
2.680,1.380
2.695,1.490
2.700,1.600
2.695,1.710
2.680,1.820
2.650,1.925
2.615,2.025
2.565,2.125
2.510,2.220
2.445,2.305
2.370,2.385
2.285,2.460
2.195,2.525
2.100,2.580
2.000,2.625
1.900,2.660
1.790,2.685
1.680,2.695
1.575,2.700
1.465,2.690
1.355,2.670
1.250,2.645
1.150,2.605
1.050,2.555
0.960,2.495
0.870,2.425
0.795,2.350
0.725,2.265
0.660,2.175
0.610,2.075
0.565,1.975
0.535,1.870
0.510,1.765
0.500,1.655
